el csv no tiene latitud no longitud tierneCountry,CO2_Emissions,Population,Total_GDP,CO2_Emissions_per_Capita,CO2_Emissions_per_GDP,GDP_per_Capita
China,11680000000,1412600000,17700000000000,8.268441172306390,0.0006598870056497180,12530.08636556700
United States,5100000000,331000000,23320000000000,15.407854984894300,0.00021869639794168100,70453.17220543810
India,2900000000,1380000000,3050000000000,2.101449275362320,0.0009508196721311480,2210.144927536230
Russia,1750000000,144100000,1710000000000,12.144344205412900,0.0010233918128655000,11866.75919500350
Japan,1200000000,126300000,5380000000000,9.501187648456060,0.00022304832713754600,42596.991290578000
Germany,760000000,83200000,4450000000000,9.134615384615390,0.0001707865168539330,53485.57692307690
Iran,720000000,84900000,682000000000,8.480565371024740,0.0010557184750733100,8032.9799764428700
Saudi Arabia,620000000,34800000,804000000000,17.816091954023000,0.0007711442786069650,23103.44827586210
South Korea,610000000,51300000,1800000000000,11.89083820662770,0.0003388888888888890,35087.71929824560
Canada,590000000,38000000,2050000000000,15.526315789473700,0.0002878048780487810,53947.36842105260